wordlist,wordlist (stemming),wordlist (spacy),wordlist (HanoverTagger)
Kontaktsperre,kontaktsperr,kontaktsperre,kontaktsperre
Kontaktverbot,kontaktverbot,kontaktverbot,kontaktverbot
Kontamination,kontamin,kontamination,kontamination
Krisenkabinett,krisenkabinett,krisenkabinett,krisenkabinett
Krisenmanagement,krisenmanag,krisenmanagement,krisenmanagement
Kurzarbeit,kurzarbeit,kurzarbeit,kurzarbeit
Kurzarbeiter,kurzarbeit,kurzarbeiter,kurzarbeit
Kurzarbeitergeld,kurzarbeitergeld,kurzarbeitergeld,kurzarbeitergeld
Kurzarbeiterin,kurzarbeiterin,kurzarbeiterin,kurzarbeiterin
Letalität,letalität,letalität,letalität
Lieferengpass,lieferengpass,lieferengpass,lieferengpass
Lockdown,lockdown,lockdown,lockdown
Lockerung,lockerung,lockerung,lockerung
Maskenmuffel,maskenmuffel,maskenmuffel,maskenmuffel
Maskenpflicht,maskenpflicht,maskenpflicht,maskenpflicht
Massentest,massentest,massentest,massentest
Mitigation,mitig,mitigation,mitigation
Mortalitätsrate,mortalitätsr,mortalitätsrate,mortalitätsrate
Mund-Nasen-Schutz,mund-nasen-schutz,mund-nasen-schutz,mund-nasen-schutz
Mundschutz,mundschutz,mundschutz,mundschutz
Nettoreproduktionszahl,nettoreproduktionszahl,nettoreproduktionszahl,nettoreproduktionszahl
Neuinfektion,neuinfekt,neuinfektion,neuinfektion
Niesetikette,niesetikett,niesetikette,niesetikette
Niesschutz,niesschutz,niesschutz,niesschutz
Notbetreuung,notbetreuung,notbetreuung,notbetreuung
Notfallpatient,notfallpati,notfallpatient,notfallpatient
Notfallpatientin,notfallpatientin,notfallpatientin,notfallpatientin
Pandemie,pandemi,pandemie,pandemie
Pandemieplan,pandemieplan,pandemieplan,pandemieplan
PCR,pcr,pcr,pc
PCR-Test,pcr-test,pcr-test,pcr-test
Prävalenz,prävalenz,prävalenz,prävalenz
Präventionsmaßnahme,präventionsmaßnahm,präventionsmaßnahme,präventionsmaßnahme
Präventionsparadox,präventionsparadox,präventionsparadox,präventionsparadox
Quarantäne,quarantän,quarantäne,quarantäne
Quarantänestation,quarantänest,quarantänestation,quarantänestation
R-Zahl,r-zahl,r-zahl,r-zahl
R0,r0,r0,r0
R0-Wert,r0-wert,r0-wert,r0-wert
Reisewarnung,reisewarnung,reisewarnung,reisewarnung
Reproduktionsrate,reproduktionsr,reproduktionsrate,reproduktionsrate
Reproduktionszahl,reproduktionszahl,reproduktionszahl,reproduktionszahl
Risikogebiet,risikogebiet,risikogebiet,risikogebiet
Risikogruppe,risikogrupp,risikogruppe,risikogruppe
Rückholaktion,rückholakt,rückholaktion,rückholaktion
SARS-CoV-2,sars-cov-2,sars-cov-2,sars-cov-2
Schmierinfektion,schmierinfekt,schmierinfektion,schmierinfektion
Schulöffnung,schulöffnung,schulöffnung,schulöffnung
Schulschließung,schulschließung,schulschließung,schulschließung
Selbstisolierung,selbstisolierung,selbstisolierung,selbstisolierung
Selbstquarantäne,selbstquarantän,selbstquarantäne,selbstquarantäne
Shutdown,shutdown,shutdown,shutdown
Sicherheitsabstand,sicherheitsabstand,sicherheitsabstand,sicherheitsabstand
Social Distancing,social distanc,social,social distancing
Spritzschutz,spritzschutz,distancing,spritzschutz
Spuckschutz,spuckschutz,spritzschutz,spuckschutz
Spuckschutztrennscheibe,spuckschutztrennscheib,spuckschutz,spuckschutztrennscheibe
Spuckschutzwand,spuckschutzwand,spuckschutztrennscheibe,spuckschutzwand
Spuckwand,spuckwand,spuckschutzwand,spuckwand
Sterberate,sterber,spuckwand,sterberate
Sterberisiko,sterberisiko,sterberate,sterberisiko
Sterblichkeitsrate,sterblichkeitsr,sterberisiko,sterblichkeitsrate
Superspreader,superspread,sterblichkeitsrate,superspreader
Superspreaderin,superspreaderin,superspreader,superspreaderin
systemkritisch,systemkritisch,superspreaderin,systemkritisch
systemrelevant,systemrelev,systemkritisch,systemrelevant
Tracing-App,tracing-app,systemrelevant,tracing-app
Tröpfcheninfektion,tröpfcheninfekt,tracing-app,tröpfcheninfektion
Übersterblichkeit,übersterblichkeit,tröpfcheninfektion,übersterblichkeit
Übertragungsweg,übertragungsweg,übersterblichkeit,übertragungsweg
Verbreitungsweg,verbreitungsweg,übertragungsweg,verbreitungsweg
Verschwörungstheoretiker,verschwörungstheoretik,verbreitungsweg,verschwörungstheoretiker
Verschwörungstheoretikerin,verschwörungstheoretikerin,verschwörungstheoretiker,verschwörungstheoretikerin
Versorgungsengpass,versorgungsengpass,verschwörungstheoretikerin,versorgungsengpass
Virologe,virolog,versorgungsengpass,virologe
Virologie,virologi,virologe,virologie
Virologin,virologin,virologie,virologin
Virus,viru,virologin,virus
Virusinfekt,virusinfekt,virus,virusinfekt
Virusinfektion,virusinfekt,virusinfekt,virusinfektion
Viruzid,viruzid,virusinfektion,viruzid
viruzid,viruzid,viruzid,viruzid
Vorerkrankte,vorerkrankt,viruzid,vorerkranken
Vorerkrankung,vorerkrankung,vorerkrankte,vorerkrankung
Maske,mask,vorerkrankung,maske
Inzidenzwert,inzidenzwert,maske,inzidenzwert
Masken,masken,inzidenzwert,maske
falsch-positiv,falsch-positiv,masken,falsch-positiv
rki,rki,falsch-positiv,rki
Chinavirus,chinaviru,rki,chinavirus
Impfstoffzulassung,impfstoffzulassung,chinavirus,impfstoffzulassung
Zulassungsverzögerungen,zulassungsverzögerungen,impfstoffzulassung,zulassungsverzögerung
Zielinzidenz,zielinzidenz,zulassungsverzögerungen,zielinzidenz
Querdenker,querdenk,zielinzidenz,querdenker
Querdenkerdemo,querdenkerdemo,querdenker,querdenkerdemo
Neuinfizierte,neuinfiziert,querdenkerdemo,neuinfiziert
Shutdown,shutdown,neuinfizierte,shutdown
Coronainfektion,coronainfekt,shutdown,coronainfektion
Coronainfektionen,coronainfektionen,coronainfektion,coronainfektion
Impfzentrum,impfzentrum,coronainfektionen,impfzentrum
Beherberungsverbot,beherberungsverbot,impfzentrum,beherberungsverbot
Infektionszahlen,infektionszahlen,beherberungsverbot,infektionszahl
Hotspot,hotspot,infektionszahlen,hotspot
Infektionsherde,infektionsherd,hotspot,infektionsherde
Corona-Wahnsinn,corona-wahnsinn,infektionsherde,corona-wahnsinn
Coronaleugnung,coronaleugnung,corona-wahnsinn,coronaleugnung
Lockdownlight,lockdownlight,coronaleugnung,lockdownlight
Impfzentren,impfzentren,lockdownlight,impfzentren
Impfpflicht,impfpflicht,impfzentren,impfpflicht
Impfgegner,impfgegn,impfpflicht,impfgegner
FFP2-Maske,ffp2-mask,impfgegner,ffp2-maske
