name,screen_name,party,total_tweets,covid_tweets
"Baumann, Dr. Bernd",BerndBaumannAfD,AfD,51,5
"Frei, Thorsten",thorsten_frei,CDU,17,0
"Grundl, Erhard",Erhard_Grundl,Bündnis 90/Die Grünen,229,66
"Hohmann, Martin",HohmannMdb,AfD,107,20
"Bubendorfer-Licht, Sandra",Bubendorferfdp,FDP,221,36
"Martens, Dr. Jürgen",juergen_martens,FDP,47,7
"Bach, Bela",bela_bach,SPD,108,23
"Freitag, Dagmar",DagmarFreitag13,SPD,890,52
"Weingarten, Joe",DrJoeWeingarten,SPD,151,13
"Schneidewind-Hartnagel, Charlotte",charlotte_mdb,Bündnis 90/Die Grünen,18,6
"Zickenheiner, Gerhard",GZickenheiner,Bündnis 90/Die Grünen,105,11
"Monstadt, Dietrich",MdBMonstadt,CDU,0,0
"Vries, Christoph de",VriesChristoph,CDU,80,6
"Nölke, Matthias",Matthiasnoelke,FDP,50,2
"Martin, Dorothee",Doro_Martin,SPD,509,37
"Baradari, Nezahat",BaradariNezahat,SPD,0,0
"Lehmann, Sylvia",LehmannSpd,SPD,0,0
"Hilse, Karsten",HilseMdb,AfD,1,0
"Huber, Johannes",HuberMdB,AfD,138,22
"Krichbaum, Gunther",GuntherKrichba3,CDU,19,1
"Ludwig, Saskia",SaskiaLudwig17,CDU,274,26
"Möller, Siemtje",SiemtjeMdB,SPD,244,14
"Otten, Gerold",Gerold_Otten,AfD,72,12
"Kramp-Karrenbauer, Annegret",akk,CDU,171,32
"Klöckner, Julia",JuliaKloeckner,CDU,518,56
"Schulze, Svenja",SvenjaSchulze68,SPD,311,41
"Söder, Markus",Markus_Soeder,CSU,496,234
"Walter-Borjans, Norbert",NowaboFM,SPD,696,59
"Meuthen, Prof. Dr. Norbert",Joerg_Meuthen,AFD,344,65
"Beck, Volker",Volker_Beck,Bündnis 90/Die Grünen,4392,258
"Polenz, Ruprecht",polenz_r,CDU,11728,1673
"Kühnert, Kevin",KuehniKev,SPD,3053,100
"Stegner, Ralf",Ralf_Stegner,SPD,3580,781
