name,screen_name,party,total_tweets,covid_tweets
"Schuster, Armin",armin_schuster,CDU,101,20
"Schwabe, Frank",FrankSchwabe,SPD,690,52
"Schwartze, Stefan",s_schwartze,SPD,55,11
"Schwarz, Andreas",Schwarz_MdB,SPD,801,52
"Schwarzelühr-Sutter, Rita",rischwasu,SPD,279,30
"Sensburg, Prof. Dr. Patrick",PatrickSensburg,CDU,49,7
"Siebert, Bernd",BerndSiebert,CDU,9,1
"Sitte, Dr. Petra",Petra_Sitte_MdB,Die Linke,295,33
"Sorge, Tino",TinoSorge,CDU,254,110
"Spahn, Jens",jensspahn,CDU,314,166
"Spiering, Rainer",rainerspiering,SPD,0,0
"Stadler, Svenja",stadler_svenja,SPD,299,11
"Stamm-Fibich, Martina",stamm_fibich,SPD,28,5
"Steffel, Dr. Frank",franksteffel,CDU,34,2
"Steffen, Sonja",SteffenSonja,SPD,49,8
"Stefinger, Dr. Wolfgang",StefingerMdB,CSU,42,12
"Steineke, Sebastian",SteinekeCDU,CDU,2188,259
"Steiniger, Johannes",JoSteiniger,CDU,651,47
"Stetten, Christian Freiherr von",Stettenchris,CDU,0,0
"Storjohann, Gero",gero_storjohann,CDU,128,21
"Strengmann-Kuhn, Dr. Wolfgang",W_SK,Bündnis 90/Die Grünen,283,35
"Tackmann, Dr. Kirsten",KirstenTackmann,Die Linke,570,19
"Tauber, Dr. Peter",petertauber,CDU,605,17
"Thews, Michael",michael_thews,SPD,406,96
"Träger, Carsten",CarstenTraeger,SPD,72,8
"Tressel, Markus",MarkusTressel,Bündnis 90/Die Grünen,201,42
"Trittin, Jürgen",JTrittin,Bündnis 90/Die Grünen,869,131
"Ullrich, Dr. Volker",VolkerUllrich,CSU,344,41
"Verlinden, Dr. Julia",julia_verlinden,Bündnis 90/Die Grünen,456,16
"Vogler, Kathrin",voglerk,Die Linke,701,63
"Vogt, Ute",UteVogt,SPD,80,6
"Vries, Kees de",KEESdeVriesCDU,CDU,0,0
"Wagenknecht, Dr. Sahra",SWagenknecht,Die Linke,236,94
"Walter-Rosenheimer, Beate",BeateWaRo,Bündnis 90/Die Grünen,42,4
"Wadephul, Dr. Johann",JoWadephul,CDU,268,11
"Wanderwitz, Marco",wanderwitz,CDU,1504,140
"Warken, Nina",ninawarken,CDU,79,1
"Weber, Gabi",GabiWeberSPD,SPD,10,2
"Wegner, Kai",kaiwegner,CDU,435,86
"Weinberg, Harald",HaraldWeinberg,Die Linke,0,0
"Weinberg, Marcus",MarcusWeinberg,CDU,194,37
"Weisgerber, Dr. Anja",anjaweisgerber,CSU,148,30
"Weiß, Peter",PeterWeissMdB,CDU,0,0
"Wellenreuther, Ingo",Wellenreuther,CDU,0,0
"Wendt, Marian",MdbWendt,CDU,430,60
"Werner, Katrin",Katrin_Werner,Die Linke,164,40
"Whittaker, Kai",Kai_Whittaker,CDU,435,102
"Widmann-Mauz, Annette",AWidmannMauz,CDU,397,55
"Wiese, Dirk",DirkWieseSPD,SPD,746,89
"Zdebel, Hubertus",ZdebelHubertus,Die Linke,91,32
"Zech, Tobias",TobiasZech,CSU,11,2
"Zierke, Stefan",zierke,SPD,0,0
"Zimmer, Prof. Dr. Matthias",matthiaszimmer,CDU,176,8
"Zimmermann, Dr. Jens",JensZSPD,SPD,815,107
"Müller, Detlef",MuellerChemnitz,SPD,854,86
"Abercron, Dr. Michael von",mvabercron,CDU,106,20
"Achelwilm, Doris",DorisAchelwilm,Die Linke,400,56
"Akbulut, Gökay",AkbulutGokay,Die Linke,509,83
"Aschenberg-Dugnus, Christine",cad59,FDP,211,85
"Aumer, Peter",PeterAumer,CSU,4,0
"Badum, Lisa",badulrichmartha,Bündnis 90/Die Grünen,133,8
"Barrientos Krauss, Simone",SBarrientosK,Die Linke,266,44
"Bause, Margarete",MargareteBause,Bündnis 90/Die Grünen,131,9
"Bayaz, Dr. Danyal",DerDanyal,Bündnis 90/Die Grünen,1437,187
"Bayram, Canan",LieblingXhain,Bündnis 90/Die Grünen,1317,181
"Beeck, Jens",jensbeeck,FDP,43,15
"Bernhard, Marc",MarcBernhardAfD,AfD,365,96
"Bernstiel, Christoph",c_bernstiel,CDU,12,3
"Beutin, Lorenz Gösta",lgbeutin,Die Linke,3283,472
"Beyer, Peter",Peter_Beyer,CDU,236,60
"Bleck, Andreas",AndreasBleckMdB,AfD,102,11
"Boehringer, Peter",PeterBoehringer,AfD,110,55
"Brandenburg, Dr. Jens",JBrandenburgFDP,FDP,536,46
"Brandenburg, Mario",BraFDP,FDP,385,55
"Brandner, Stephan",StBrandner,AfD,4382,233
"Brandt, Michel",michel_brandt_,Die Linke,554,68
"Brehm, Sebastian",Brehm_inNBGNord,CSU,1,1
"Breymaier, Leni",LeniBreymaier,SPD,410,49
"Brandl, Dr. Reinhard",reinhardbrandl,CSU,1,0
"Bühl, Marcus",Marcus_Buehl,AfD,185,27
"Bull-Bischoff, Birke",Birke_Bull,Die Linke,79,9
"Buschmann, Dr. Marco",MarcoBuschmann,FDP,4797,468
"Büttner, Matthias",Buettner_MdB,AfD,85,25
"Bystron, Petr",PetrBystronAfD,AfD,768,43
"Cezanne, Jörg",joerg_cezanne,Die Linke,25,1
"Christmann, Dr. Anna",annachristmann,Bündnis 90/Die Grünen,334,82
"Cotar, Joana",JoanaCotar,AfD,1869,251
"Curio, Dr. Gottfried",GottfriedCurio,AfD,132,21
"De Masi, Fabio",FabioDeMasi,Die Linke,5823,754
"Domscheit-Berg, Anke",anked,Die Linke,3146,649
