name,screen_name,party,total_tweets,covid_tweets,ratio
"Strengmann-Kuhn, Dr. Wolfgang",W_SK,Bündnis 90/Die Grünen,282,25,8.87
"Gysi, Dr. Gregor",GregorGysi,Die Linke,90,14,15.56
"Heil, Hubertus",hubertus_heil,SPD,265,38,14.34
"Heil, Mechthild",MechthildHeil,CDU,25,6,24.0
"Klein-Schmeink, Maria",MariaKlSchmeink,Bündnis 90/Die Grünen,1484,319,21.5
