,tweet_id,annotation_qualifier,party,date
74,1240589566450503680,relief,FDP,Thu Mar 19 10:42:56 +0000 2020
75,1242457063743160322,frustration,AfD,Tue Mar 24 14:23:42 +0000 2020
76,1311210723528396801,frustration,AfD,Wed Sep 30 07:46:12 +0000 2020
77,1298541966980980737,frustration,AfD,Wed Aug 26 08:45:05 +0000 2020
78,1233698431224418304,frustration,AfD,Sat Feb 29 10:20:01 +0000 2020
79,1334445261507207170,frustration,AfD,Thu Dec 03 10:31:57 +0000 2020
80,1311904951296233473,relief,AfD,Fri Oct 02 05:44:49 +0000 2020
81,1240298555157426182,concern,AfD,Wed Mar 18 15:26:33 +0000 2020
82,1320492267367473154,frustration,AfD,Sun Oct 25 22:27:44 +0000 2020
83,1337341824885809153,misinformation,AfD,Fri Dec 11 10:21:52 +0000 2020
84,1338068484853542913,frustration,AfD,Sun Dec 13 10:29:21 +0000 2020
85,1311922495553970177,frustration,AfD,Fri Oct 02 06:54:31 +0000 2020
86,1235187242878062592,concern,AfD,Wed Mar 04 12:56:02 +0000 2020
87,1298551533995425793,frustration,AfD,Wed Aug 26 09:23:06 +0000 2020
88,1264853481803964417,frustration,AfD,Mon May 25 09:39:04 +0000 2020
89,1233475287704313857,question,AfD,Fri Feb 28 19:33:20 +0000 2020
90,1242435241865871360,relief,CSU,Tue Mar 24 12:56:59 +0000 2020
91,1280066366981185542,downplayed risk,CSU,Mon Jul 06 09:09:39 +0000 2020
92,1337363040883322880,concern,CSU,Fri Dec 11 11:46:10 +0000 2020
93,1335597613601730560,concern,CSU,Sun Dec 06 14:50:59 +0000 2020
94,1243594931928813568,frustration,CSU,Fri Mar 27 17:45:11 +0000 2020
95,1289813392459362304,concern,CSU,Sun Aug 02 06:40:50 +0000 2020
96,1266340508365963272,concern,CSU,Fri May 29 12:07:59 +0000 2020
97,1335892474359934976,concern,CSU,Mon Dec 07 10:22:40 +0000 2020
98,1330480129785663488,concern,CSU,Sun Nov 22 11:55:56 +0000 2020
99,1241017853739925510,relief,CSU,Fri Mar 20 15:04:47 +0000 2020
100,1306565111985864705,concern,CSU,Thu Sep 17 12:06:12 +0000 2020
101,1242053835306270720,relief,CSU,Mon Mar 23 11:41:25 +0000 2020
102,1340669169902247940,concern,CSU,Sun Dec 20 14:43:33 +0000 2020
103,1241762821647618053,downplayed risk,CSU,Sun Mar 22 16:25:02 +0000 2020
104,1280432806225641474,concern,CSU,Tue Jul 07 09:25:44 +0000 2020
105,1334582689173790721,concern,Fraktionslos,Thu Dec 03 19:38:03 +0000 2020
106,1248914224182636545,frustration,Fraktionslos,Sat Apr 11 10:02:09 +0000 2020
107,1238050018025713664,frustration,Fraktionslos,Thu Mar 12 10:31:40 +0000 2020
108,1339297030435463172,frustration,Fraktionslos,Wed Dec 16 19:51:09 +0000 2020
109,1315965801606807554,frustration,Fraktionslos,Tue Oct 13 10:41:11 +0000 2020
110,1239623320196317184,frustration,Fraktionslos,Mon Mar 16 18:43:25 +0000 2020
111,1298949970108854274,frustration,Fraktionslos,Thu Aug 27 11:46:20 +0000 2020
112,1304686855598804993,frustration,Fraktionslos,Sat Sep 12 07:42:40 +0000 2020
113,1239662439878340613,frustration,Fraktionslos,Mon Mar 16 21:18:52 +0000 2020
114,1231309632347525125,concern,Fraktionslos,Sat Feb 22 20:07:47 +0000 2020
115,1241694130155200512,humour or sarcasm,Fraktionslos,Sun Mar 22 11:52:04 +0000 2020
116,1270780847273185281,frustration,Fraktionslos,Wed Jun 10 18:12:18 +0000 2020
117,1312200273910145024,frustration,Fraktionslos,Sat Oct 03 01:18:19 +0000 2020
118,1295583184860655616,misinformation,Fraktionslos,Tue Aug 18 04:47:56 +0000 2020
119,1335951846771486729,frustration,Fraktionslos,Mon Dec 07 14:18:35 +0000 2020
